student_id,name,subject,score,date,attendance,grade
STU001,Whitney Riddle,Science,46,2024-11-19,60,Low
STU002,Johnny Burton,History,77,2024-05-29,77,Medium
STU003,Stephen Salazar,Science,70,2024-12-03,66,Medium
STU004,Molly Fletcher,Science,37,2024-11-23,86,Low
STU005,Victoria Hall,Math,70,2024-05-16,94,Medium
STU006,Matthew Davis,Science,50,2024-11-30,99,Low
STU007,David Thomas,History,70,2024-05-23,77,Medium
STU008,Dawn Liu,English,85,2024-08-30,89,Medium
STU009,Lance Martinez,English,47,2024-08-19,73,Low
STU010,John Thompson,History,60,2024-09-19,82,Medium
STU011,David Fry,English,42,2024-09-11,65,Low
STU012,Jennifer Rasmussen,English,42,2024-12-11,69,Low
STU013,Joy Hernandez,Math,39,2024-09-15,84,Low
STU014,Diane Stuart,Science,90,2024-11-20,84,High
STU015,James Webb,History,51,2024-08-15,79,Low
STU016,Laurie Pierce,Math,41,2024-03-21,87,Low
STU017,Veronica Scott,Math,84,2024-12-09,62,Medium
STU018,Lance Thompson,Math,67,2024-10-18,94,Medium
STU019,Roberta Gregory,Science,60,2024-09-21,77,Medium
STU020,Gabriel Ryan,Science,61,2024-01-01,83,Medium
STU021,Ryan Flores,English,42,2024-12-01,80,Low
STU022,Charles Brown,History,38,2024-01-31,75,Low
STU023,Mary Lambert,Math,40,2024-06-20,68,Low
STU024,Christopher Briggs,Math,37,2024-02-10,92,Low
STU025,Joshua Green,History,62,2024-12-08,61,Medium
STU026,Mary Thomas,Science,63,2024-03-07,94,Medium
STU027,Joshua Santos,Science,36,2024-06-08,96,Low
STU028,Tracy Ramirez,History,78,2024-03-19,91,Medium
STU029,Melody Holland,History,69,2024-01-02,62,Medium
STU030,Rhonda Thomas,Science,61,2024-03-17,86,Medium
STU031,Caitlin Graham,English,37,2024-04-29,90,Low
STU032,Sandy Pollard,Math,55,2024-01-08,60,Low
STU033,Joseph Lopez,Math,89,2024-10-05,82,High
STU034,Rebecca Wilkins,Math,38,2024-05-25,95,Low
STU035,Chloe Guzman,Math,54,2024-02-02,70,Low
STU036,Ian Berg,Science,99,2024-10-25,63,High
STU037,Dana Hale,English,86,2024-01-20,65,High
STU038,Kayla Allen,Math,48,2024-06-29,80,Low
STU039,Monique Mclaughlin,Science,92,2024-01-26,80,High
STU040,Alexis Bruce,English,44,2024-02-10,97,Low
STU041,Shelby Ortiz,History,36,2024-09-22,98,Low
STU042,Eric Ford,History,85,2024-04-07,61,Medium
STU043,Jeremiah Gilbert,English,51,2024-09-21,68,Low
STU044,Wendy Ortega,Science,38,2024-03-22,92,Low
STU045,Emily Richards,Math,44,2024-01-16,75,Low
STU046,Mrs. Kelsey Carter MD,History,73,2024-01-25,65,Medium
STU047,James Gibson,History,83,2024-12-26,95,Medium
STU048,Howard Khan,History,97,2024-09-03,65,High
